epoch,train_total,train_heatmaps,val_total,val_heatmaps
1,0.20940655635462868,0.20940655635462868,0.21206772327423096,0.21206772327423096
2,0.20963270796669853,0.20963270796669853,0.21175978084405264,0.21175978084405264
3,0.2100033462047577,0.2100033462047577,0.21188294887542725,0.21188294887542725
4,0.20916374855571324,0.20916374855571324,0.21169820427894592,0.21169820427894592
5,0.20957164300812614,0.20957164300812614,0.21200605730215707,0.21200605730215707
6,0.2093661112917794,0.2093661112917794,0.21157498160998026,0.21157498160998026
7,0.2096147487560908,0.2096147487560908,0.2116981546084086,0.2116981546084086
8,0.20899818506505755,0.20899818506505755,0.21194443106651306,0.21194443106651306
9,0.2092237025499344,0.2092237025499344,0.211759681502978,0.211759681502978
10,0.20942915148205227,0.20942915148205227,0.21182126303513846,0.21182126303513846
11,0.20947034491433036,0.20947034491433036,0.21194438139597574,0.21194438139597574
12,0.20936715768443215,0.20936715768443215,0.21157494187355042,0.21157494187355042
13,0.20953100423018137,0.20953100423018137,0.2117596666018168,0.2117596666018168
14,0.20920254952377743,0.20920254952377743,0.21188276509443918,0.21188276509443918
15,0.20926393071810404,0.20926393071810404,0.2116980403661728,0.2116980403661728
16,0.20904017322593266,0.20904017322593266,0.21182118356227875,0.21182118356227875
17,0.20944873657491472,0.20944873657491472,0.2115748425324758,0.2115748425324758
18,0.20969409743944803,0.20969409743944803,0.21163639922936758,0.21163639922936758
19,0.20946993099318612,0.20946993099318612,0.21175956229368845,0.21175956229368845
20,0.2092634124888314,0.2092634124888314,0.21188271045684814,0.21188271045684814
21,0.20926450689633688,0.20926450689633688,0.21188267568747202,0.21188267568747202
22,0.20899795161353218,0.20899795161353218,0.21188267568747202,0.21188267568747202
23,0.20858781701988643,0.20858781701988643,0.21206741531689963,0.21206741531689963
24,0.20899636877907646,0.20899636877907646,0.21194422245025635,0.21194422245025635
25,0.20901912616358864,0.20901912616358864,0.21163629988829294,0.21163629988829294
26,0.2091415690051185,0.2091415690051185,0.21182105441888174,0.21182105441888174
27,0.2093657073047426,0.2093657073047426,0.21138999362786612,0.21138999362786612
28,0.2092224293284946,0.2092224293284946,0.21163629492123923,0.21163629492123923
29,0.209284116824468,0.209284116824468,0.21212891240914664,0.21212891240914664
30,0.20955002307891846,0.20955002307891846,0.2118825614452362,0.2118825614452362
31,0.20914013352659014,0.20914013352659014,0.21182098984718323,0.21182098984718323
32,0.20899756418334114,0.20899756418334114,0.21200569967428842,0.21200569967428842
33,0.20920254952377743,0.20920254952377743,0.21175935367743173,0.21175935367743173
34,0.2089756942457623,0.2089756942457623,0.21175935367743173,0.21175935367743173
35,0.20903795295291477,0.20903795295291477,0.2120672216018041,0.2120672216018041
36,0.20922235482268864,0.20922235482268864,0.2121903896331787,0.2121903896331787
37,0.20946981178389656,0.20946981178389656,0.21194405853748322,0.21194405853748322
38,0.20944832265377045,0.20944832265377045,0.212005615234375,0.212005615234375
39,0.20899773471885258,0.20899773471885258,0.21182086567083994,0.21182086567083994
40,0.2094489336013794,0.2094489336013794,0.21151295801003775,0.21151295801003775
